Province.State,StateOfEmergency,ClosePublicSchools,LimitGatherings,Restraurant,RestrictBusinesses,StayAtHome,PercentMobilityChange
Alabama,3/13/20,3/18/20,3/20/20,3/20/20,NA,4/4/20,-18
Alaska,3/11/20,3/16/20,3/24/20,NA,3/18/20,3/28/20,-34
Arizona,3/11/20,3/16/20,3/20/20,3/20/20,NA,3/31/20,-26
Arkansas,3/11/20,3/17/20,NA,3/19/20,NA,NA,-27
California,3/4/20,NA,3/11/20,3/15/20,3/19/20,3/19/20,-39
Colorado,3/10/20,3/23/20,3/13/20,3/17/20,3/23/20,3/26/20,-29
Connecticut,3/10/20,3/17/20,3/12/20,3/16/20,3/23/20,3/23/20,-37
Delaware,3/13/20,3/13/20,3/13/20,3/16/20,3/24/20,3/24/20,-29
District of Columbia,3/11/20,3/20/20,3/13/20,3/16/20,3/25/20,4/1/20,-57
Florida,3/9/20,3/17/20,3/17/20,3/20/20,NA,4/3/20,-32
Georgia,3/14/20,3/18/20,3/24/20,NA,NA,4/3/20,-21
Hawaii,3/4/20,3/19/20,3/16/20,3/17/20,3/25/20,3/25/20,-26
Idaho,3/13/20,3/23/20,3/18/20,3/25/20,3/25/20,3/25/20,-11
Illinois,3/9/20,3/17/20,3/13/20,3/16/20,3/21/20,3/21/20,-28
Indiana,3/6/20,3/19/20,3/12/20,3/16/20,3/24/20,3/25/20,-13
Iowa,3/9/20,4/3/20,3/17/20,3/17/20,NA,NA,-12
Kansas,3/12/20,3/17/20,3/17/20,NA,NA,3/30/20,-18
Kentucky,3/6/20,NA,3/11/20,3/16/20,3/26/20,NA,-16
Louisiana,3/11/20,3/13/20,3/13/20,3/17/20,3/23/20,3/23/20,-30
Maine,3/15/20,4/1/20,3/12/20,3/18/20,3/25/20,4/1/20,-26
Maryland,3/5/20,3/16/20,3/16/20,3/16/20,3/23/20,3/30/20,-32
Massachusetts,3/10/20,3/17/20,3/13/20,3/17/20,3/24/20,3/24/20,-40
Michigan,3/10/20,3/16/20,3/13/20,3/16/20,3/23/20,3/24/20,-27
Minnesota,3/13/20,3/18/20,3/13/20,3/17/20,NA,3/28/20,-29
Mississippi,3/14/20,3/19/20,3/24/20,3/24/20,4/3/20,4/3/20,-18
Missouri,3/13/20,3/23/20,3/15/20,3/23/20,NA,4/6/20,-16
Montana,3/12/20,3/16/20,3/15/20,3/20/20,3/28/20,3/28/20,-11
Nebraska,3/13/20,4/3/20,3/16/20,3/19/20,NA,NA,-15
Nevada,3/12/20,3/16/20,3/12/20,3/17/20,3/21/20,3/31/20,-49
New Hampshire,3/13/20,3/16/20,3/16/20,3/16/20,3/28/20,3/28/20,-40
New Jersey,3/9/20,3/18/20,3/12/20,3/16/20,3/21/20,3/21/20,-42
New Mexico,3/11/20,3/16/20,3/16/20,3/19/20,3/24/20,NA,-15
New York,3/7/20,3/18/20,3/16/20,3/16/20,3/20/20,3/22/20,-45
North Carolina,3/10/20,3/16/20,3/12/20,3/17/20,3/30/20,3/30/20,-25
North Dakota,3/13/20,3/16/20,3/12/20,3/20/20,NA,NA,-11
Ohio,3/9/20,3/16/20,3/10/20,3/15/20,3/24/20,3/24/20,-20
Oklahoma,3/15/20,3/17/20,3/17/20,3/25/20,NA,3/24/20,-17
Oregon,3/8/20,3/16/20,3/16/20,3/17/20,NA,3/23/20,-21
Pennsylvania,3/6/20,3/16/20,3/16/20,3/17/20,3/23/20,4/1/20,-30
Rhode Island,3/9/20,3/23/20,3/11/20,3/17/20,NA,3/28/20,-36
South Carolina,3/13/20,3/16/20,3/15/20,3/18/20,NA,4/7/20,-20
South Dakota,3/13/20,3/17/20,3/23/20,NA,NA,NA,-10
Tennessee,3/12/20,NA,3/12/20,3/23/20,4/1/20,4/2/20,-17
Texas,3/13/20,3/20/20,3/20/20,3/20/20,NA,4/2/20,-23
Utah,3/6/20,3/16/20,3/16/20,3/18/20,NA,NA,-28
Vermont,3/13/20,3/18/20,3/13/20,3/17/20,3/25/20,3/24/20,-40
Virginia,3/12/20,3/16/20,3/15/20,3/24/20,NA,3/30/20,-27
Washington,2/29/20,3/17/20,3/11/20,3/16/20,3/25/20,3/23/20,-28
West Virginia,3/16/20,3/13/20,3/12/20,3/17/20,3/24/20,3/24/20,-19
Wisconsin,3/12/20,3/18/20,3/17/20,3/17/20,3/25/20,3/25/20,-19
Wyoming,3/13/20,3/19/20,3/20/20,3/19/20,NA,NA,-24