Province.State,Percent65_plus
Maine,20.6
Florida,20.5
West Virginia,19.9
Vermont,19.4
Delaware,18.7
Montana,18.7
Hawaii,18.4
Pennsylvania,18.2
New Hampshire,18.1
South Carolina,17.7
Oregon,17.6
Arizona,17.5
New Mexico,17.5
Connecticut,17.2
Michigan,17.2
Rhode Island,17.2
Iowa,17.1
Ohio,17.1
Arkansas,17
Wisconsin,17
Alabama,16.9
Missouri,16.9
South Dakota,16.6
Massachusetts,16.5
Wyoming,16.5
Kentucky,16.4
New York,16.4
Tennessee,16.4
North Carolina,16.3
New Jersey,16.1
Idaho,15.9
Kansas,15.9
Minnesota,15.9
Mississippi,15.9
Indiana,15.8
Nebraska,15.7
Nevada,15.7
Oklahoma,15.7
Illinois,15.6
Louisiana,15.4
Maryland,15.4
Virginia,15.4
Washington,15.4
North Dakota,15.3
California,14.3
Colorado,14.2
Georgia,13.9
Texas,12.6
Alaska,11.8
Utah,11.1